iid,gender,pid,match,int_corr,samerace,dec_o,age,income,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
8,0,14,1,-0.4,1,1,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,0,15,1,-0.23,0,1,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,0,16,1,0.28,1,1,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,0,17,0,0.05,1,0,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,0,18,1,0.17,1,1,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,0,19,1,-0.47,1,1,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,0,20,1,-0.21,1,1,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
9,0,11,0,0.19,0,0,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,12,1,0.03,0,1,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,13,1,0.68,0,1,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,14,1,-0.26,0,1,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,15,1,-0.01,0,1,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,16,1,0.42,0,1,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,17,1,0.21,0,1,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,18,0,0.1,0,0,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,19,1,-0.35,0,1,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
9,0,20,0,-0.23,0,0,26,,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,20,10,20,30,10,10,7,6,10,7,7
10,0,11,0,0.3,1,0,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,12,0,0.65,1,0,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,13,1,-0.15,0,1,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,14,0,0.17,1,1,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,15,0,0.24,0,1,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,16,0,0.15,1,0,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,17,0,0.41,1,0,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,18,0,0.07,1,0,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,19,1,0.49,1,1,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
10,0,20,0,0.08,1,0,26,"48,652.00",To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,15,15,15,40,10,5,6,8,10,6,9
11,1,1,0,0.14,0,1,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,2,0,0.29,1,0,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,3,0,-0.24,1,0,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,4,0,-0.18,1,0,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,5,0,-0.43,1,0,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,6,0,0.33,0,1,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,7,0,0.19,0,0,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,8,0,-0.03,1,1,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,9,0,0.19,0,1,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
11,1,10,0,0.3,1,0,27,,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,35,20,20,20,0,5,8,9,7,8,5
12,1,1,0,0.54,0,1,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,2,0,0.18,1,0,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,3,0,-0.14,1,0,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,4,0,-0.18,1,0,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,5,0,0,1,0,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,6,0,0.37,0,1,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,7,0,0.21,0,0,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,8,1,-0.11,1,1,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,9,1,0.03,0,1,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
12,1,10,0,0.65,1,0,22,"29,237.00",Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,60,0,0,40,0,0,9,9,9,10,9
13,1,1,1,0.16,1,1,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,2,0,0.1,0,0,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,3,0,0.09,0,0,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,4,0,0.05,0,0,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,5,0,-0.17,0,0,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,6,0,-0.51,1,0,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,7,0,0.52,1,0,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,8,1,0.42,0,1,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,9,1,0.68,0,1,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
13,1,10,1,-0.15,0,1,22,,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,19,18,19,18,14,12,4,7,8,8,3
14,1,1,1,0.61,0,1,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,2,1,-0.21,1,1,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,3,0,-0.04,1,0,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,4,1,-0.18,1,1,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,5,1,0.08,1,1,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,6,1,0.12,0,1,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,7,1,-0.46,0,1,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,8,1,-0.4,1,1,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,9,1,-0.26,0,1,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
14,1,10,0,0.17,1,0,23,"56,580.00",Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,30,5,15,40,5,5,9,9,9,9,9
15,1,1,1,0.21,0,1,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,2,0,0.32,0,0,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,3,0,-0.14,0,0,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,4,0,0.21,0,0,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,5,0,-0.16,0,0,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,6,0,0.35,0,0,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,7,0,-0.27,0,0,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,8,1,-0.23,0,1,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,9,1,-0.01,0,1,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
15,1,10,0,0.24,0,0,24,"36,782.00",Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,30,10,20,10,10,20,7,7,7,9,9
16,1,1,0,0.25,0,0,25,,research/financial industry,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,50,0,30,10,0,10,6,6,8,8,6
16,1,2,0,0.73,1,0,25,,research/financial industry,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,50,0,30,10,0,10,6,6,8,8,6
16,1,3,0,-0.3,1,0,25,,research/financial industry,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,50,0,30,10,0,10,6,6,8,8,6
16,1,4,0,0.37,1,0,25,,research/financial industry,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,50,0,30,10,0,10,6,6,8,8,6
16,1,5,0,0.06,1,1,25,,research/financial industry,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,50,0,30,10,0,10,6,6,8,8,6
16,1,6,0,0.19,0,0,25,,research/financial industry,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,50,0,30,10,0,10,6,6,8,8,6
16,1,7,0,0.59,0,0,25,,research/financial industry,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,50,0,30,10,0,10,6,6,8,8,6
