Team,Opponent,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Corners,Pass Accuracy %,Passes,Man of the Match
9,4,2,58,11,2,7,3,81,524,1
21,25,1,57,26,9,7,8,89,557,0
25,21,2,43,8,3,3,4,83,370,1
23,28,0,43,7,3,3,1,74,379,0
28,23,2,57,12,2,4,6,80,525,1
1,15,2,38,13,7,4,6,69,399,0
15,1,2,62,17,3,10,8,82,753,1
9,25,1,40,19,5,8,4,86,342,1
25,9,0,60,9,3,5,5,90,629,0
15,28,2,54,22,7,11,8,79,622,1
28,15,1,46,11,1,6,4,79,479,0
25,28,2,43,12,4,3,4,88,510,1
28,25,0,57,15,5,7,5,92,698,0
9,15,4,39,8,6,1,2,75,271,1
15,9,2,61,15,3,8,6,83,547,0
